bedroom,bathroom,size,address,city,zillow_days,views,price,ad_type,company,agent,link
3,4,"1,700",170 W 76th St PENTHOUSE 3 New York NY 10023,New York,79,"3,192","2,850,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/170-W-76th-St-PENTHOUSE-3-New-York-NY-10023/2077111216_zpid/
5,4,"3,000",809 Halsey St Brooklyn NY 11233,Brooklyn,386,"4,172","1,749,000",For sale,Massada Home Sales 347-592-9154,Dani Ohayon ,https://www.zillow.com/homedetails/809-Halsey-St-Brooklyn-NY-11233/30599204_zpid/
5,3,"1,449",17031 Grand Central Pkwy Jamaica NY 11432,Jamaica,144,"8,482","499,000",For sale,RE/MAX Elite 718-690-3900,Michael S. Rastegar ,https://www.zillow.com/homedetails/17031-Grand-Central-Pkwy-Jamaica-NY-11432/32076923_zpid/
3,2,"1,632",8829 183rd St Jamaica NY 11423,Jamaica,92,"28,659","250,000",For sale,JOSHUAS REALTY,joshua harris ,https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/
1,2,"1,134",2666 Miles Ave #P1 Bronx NY 10465,Bronx,74,"14,693","269,000",For sale,Howard Hanna Rand Realty 347-202-4965,Mildred M Valentin ,https://www.zillow.com/homedetails/2666-Miles-Ave-P1-Bronx-NY-10465/29849704_zpid/
--,1,450,100 W 57th St APT 12Q New York NY 10019,New York,235,"7,159","113,000",For sale,Pergolotti Realty 917-415-6609,Joelle Pergolotti ,https://www.zillow.com/homedetails/100-W-57th-St-APT-12Q-New-York-NY-10019/305378593_zpid/
9,3,"2,976",755 Schenck Ave Brooklyn NY 11207,Brooklyn,23,"10,386","300,000",For sale,Big World Realty Inc 631-648-9096,Raymond Macygin ,https://www.zillow.com/homedetails/755-Schenck-Ave-Brooklyn-NY-11207/30647668_zpid/
4,3,"2,893",350 E 82nd St #14AB New York NY 10028,New York,16,"2,142","4,595,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/350-E-82nd-St-14AB-New-York-NY-10028/2078653760_zpid/
5,7,"5,300",313 W 4th St New York NY 10014,New York,353,"14,402","16,950,000",For sale,Leslie J. Garfield 212-574-6959,Matthew Lesser ,https://www.zillow.com/homedetails/313-W-4th-St-New-York-NY-10014/31500551_zpid/
3,4,"3,300",303 E 57th St APT 44G New York NY 10022,New York,31,"10,122","795,000",For sale,Bohemia Realty Group 212-663-6215,Karen Cantor ,https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/
3,2,"1,280",3910 Clarendon Rd Brooklyn NY 11203,Brooklyn,56,"7,399","725,000",For sale,Coldwell Banker Reliable 718-921-3100,William Higgins ,https://www.zillow.com/homedetails/3910-Clarendon-Rd-Brooklyn-NY-11203/30661709_zpid/
2,1,--,2106 35th St APT 2B Astoria NY 11105,Astoria,23,"3,631","350,000",For sale,Douglas Elliman Real Estate 631-499-9191,David A Barriga ,https://www.zillow.com/homedetails/2106-35th-St-APT-2B-Astoria-NY-11105/2076503755_zpid/
4,4,"2,900",301 E 61st St #19A New York NY 10065,New York,161,"11,578","9,500,000",For sale,Brown Harris Stevens 917-533-3709,Robyn Diament ,https://www.zillow.com/homedetails/301-E-61st-St-19A-New-York-NY-10065/300195837_zpid/
3,2,"1,230",445 W 240th St APT 2M Bronx NY 10463,Bronx,5,"1,445","575,000",For sale,Compass 646-265-2262,Chris E Casey ,https://www.zillow.com/homedetails/445-W-240th-St-APT-2M-Bronx-NY-10463/29852334_zpid/
5,5,"1,805",212 E 42nd St Brooklyn NY 11203,Brooklyn,23,"3,785","998,000",For sale,Weichert Realtors 914-833-0800,Geubert C Oliveira ,https://www.zillow.com/homedetails/212-E-42nd-St-Brooklyn-NY-11203/2088048302_zpid/
3,2,"1,230",704 E 37th St Brooklyn NY 11203,Brooklyn,74,"1,603","670,000",For sale,B Square Realty Inc 718-939-8388,Chong Zhang ,https://www.zillow.com/homedetails/704-E-37th-St-Brooklyn-NY-11203/30662354_zpid/
5,6,"5,368",388 Edinboro Rd Staten Island NY 10306,Staten Island,15,"5,710","2,395,000",For sale,Ben Bay Realty Co 347-543-2741,Nicholas Venturini ,https://www.zillow.com/homedetails/388-Edinboro-Rd-Staten-Island-NY-10306/32311406_zpid/
2,2,930,535 W 52nd St APT 9A New York NY 10019,New York,39,"13,606","589,008",For sale,Ivey North LLC 718-962-5509,William Falu ,https://www.zillow.com/homedetails/535-W-52nd-St-APT-9A-New-York-NY-10019/2076775133_zpid/
3,2,"1,500",215 Pond Way Staten Island NY 10303,Staten Island,22,"7,656","309,000",For sale,Keller Williams NYC 347-681-1531,Kiyomi McCloskey ,https://www.zillow.com/homedetails/215-Pond-Way-Staten-Island-NY-10303/32301413_zpid/
4,2,"1,920",13437 155th St Jamaica NY 11434,Jamaica,25,"8,346","389,000",For sale,SOWAE CORP 646-619-7424,Eric Lee ,https://www.zillow.com/homedetails/13437-155th-St-Jamaica-NY-11434/32188223_zpid/
5,4,"3,640",14009 14th Ave Flushing NY 11357,Flushing,100,"11,463","1,398,888",For sale,Keller Williams NYC 646-598-8598,Harjot Kaur Nayar ,https://www.zillow.com/homedetails/14009-14th-Ave-Flushing-NY-11357/32025902_zpid/
7,5,"2,408",499 Davis Ave Staten Island NY 10310,Staten Island,5,"2,921","898,000",For sale,United National Realty 718-979-8000,Jorge Mendoza ,https://www.zillow.com/homedetails/499-Davis-Ave-Staten-Island-NY-10310/32274516_zpid/
--,1,"36,900",1015 Summit Ave APT 2A Bronx NY 10452,Bronx,147,"3,073","60,000",For sale,Brown Harris Stevens 212-381-2587,Kim Mc Keller ,https://www.zillow.com/homedetails/1015-Summit-Ave-APT-2A-Bronx-NY-10452/244445673_zpid/
5,6,"4,250",124 W 132nd St New York NY 10027,New York,220,"4,207","2,995,000",For sale,Compass,Prince Dockery ,https://www.zillow.com/homedetails/124-W-132nd-St-New-York-NY-10027/245083803_zpid/
--,1,650,100 W 57th St APT 12I New York NY 10019,New York,64,"9,442","150,000",For sale,Alidade Realty Services LLC 212-586-9566,Diana Sanchez ,https://www.zillow.com/homedetails/100-W-57th-St-APT-12I-New-York-NY-10019/81776186_zpid/
2,1,"1,000",144-55 Melbourne Ave APT 3F Flushing NY 11367,Flushing,60,"3,626","225,000",For sale,Century Homes Realty Group LLC 718-886-6800,Mingda ( Andrew) Jiang ,https://www.zillow.com/homedetails/144-55-Melbourne-Ave-APT-3F-Flushing-NY-11367/83050509_zpid/
2,3,908,668 Halsey St #4 Brooklyn NY 11233,Brooklyn,24,"2,451","925,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/668-Halsey-St-4-Brooklyn-NY-11233/245034614_zpid/
2,2,950,150 Featherbed Ln APT 2G Bronx NY 10452,Bronx,981,"3,160","240,000",For sale,All Area Brokerage 347-731-3516,Christopher Desilva ,https://www.zillow.com/homedetails/150-Featherbed-Ln-APT-2G-Bronx-NY-10452/2089293394_zpid/
--,1,550,1200 Woodycrest Ave APT 4A Bronx NY 10452,Bronx,14,"2,003","90,000",For sale,Compass,Nigel Pearce ,https://www.zillow.com/homedetails/1200-Woodycrest-Ave-APT-4A-Bronx-NY-10452/2101686703_zpid/
5,4,"5,150",30 Tricia Way Staten Island NY 10307,Staten Island,142,"12,031","1,775,000",For sale,"Robert DeFalco Realty, Inc. 718-987-7900",Kristina Gershteyn ,https://www.zillow.com/homedetails/30-Tricia-Way-Staten-Island-NY-10307/32374809_zpid/
2,2,"1,400",190 E 72nd St APT 26B New York NY 10021,New York,29,"12,928","595,000",For sale,Corcoran 212-836-1037,Dennis R Hughes ,https://www.zillow.com/homedetails/190-E-72nd-St-APT-26B-New-York-NY-10021/72528084_zpid/
3,3,"1,600",91 Dogwood Dr Staten Island NY 10312,Staten Island,7,"3,048","579,999",For sale,Staten Island Premiere Properties 718-667-6400,Gregory Diaz ,https://www.zillow.com/homedetails/91-Dogwood-Dr-Staten-Island-NY-10312/32362258_zpid/
2,1,"1,100",303 E 57th St APT 30D New York NY 10022,New York,22,"4,352","425,000",For sale,Compass 716-930-5802,James Fierro ,https://www.zillow.com/homedetails/303-E-57th-St-APT-30D-New-York-NY-10022/72525887_zpid/
3,2,"1,832",184 Lindenwood Rd Staten Island NY 10308,Staten Island,2,414,"749,000",For sale,Ozana Realty Group 718-684-9598,Philip DeCarlo ,https://www.zillow.com/homedetails/184-Lindenwood-Rd-Staten-Island-NY-10308/32347396_zpid/
5,4,"2,408",499 Davis Ave #1 Staten Island NY 10310,Staten Island,5,"1,740","898,000",For sale,United National Realty Group,Jorge Mendoza MBA ,https://www.zillow.com/homedetails/499-Davis-Ave-1-Staten-Island-NY-10310/2075356594_zpid/
3,2,"1,622",60-11 Broadway #4R Woodside NY 11377,Woodside,239,"7,464","329,000",For sale,Century 21 American Homes 917-856-4413,Richard Gambino ,https://www.zillow.com/homedetails/60-11-Broadway-4R-Woodside-NY-11377/2084338501_zpid/
4,4,"1,800",5 Harden St Brooklyn NY 11234,Brooklyn,197,"3,282","749,000",For sale,My Home Advisors 516-425-3286,My Home Advisors ,https://www.zillow.com/homedetails/5-Harden-St-Brooklyn-NY-11234/30761791_zpid/
4,4,"7,973",53 W 53rd St #PH76 New York NY 10019,New York,868,"13,925","63,815,000",For sale,Corcoran 212-688-5300,Sales Gallery ,https://www.zillow.com/homedetails/53-W-53rd-St-PH76-New-York-NY-10019/2087724598_zpid/
1,1,800,575 Park Ave APT 1403 New York NY 10065,New York,198,"6,422","375,000",For sale,Compass,Ian Slater ,https://www.zillow.com/homedetails/575-Park-Ave-APT-1403-New-York-NY-10065/2078579912_zpid/
4,4,"4,024",15 Central Park W PENTHOUSE 41 New York NY 10023,New York,328,"13,985","48,000,000",For sale,Douglas Elliman 212-891-7676,Fredrik Eklund Eklund|Gomes Team ,https://www.zillow.com/homedetails/15-Central-Park-W-PENTHOUSE-41-New-York-NY-10023/2080536047_zpid/
5,2,"2,560",940 Cranford Ave Bronx NY 10466,Bronx,175,"8,432","300,000",For sale,Genix Group LLC 718-913-3520,Dawn Griffith ,https://www.zillow.com/homedetails/940-Cranford-Ave-Bronx-NY-10466/29840451_zpid/
5,6,"7,074",217 W 57th St #115 New York NY 10019,New York,31,"12,288","63,750,000",For sale,Corcoran 212-836-1088,Carrie Chiang ,https://www.zillow.com/homedetails/217-W-57th-St-115-New-York-NY-10019/2080418951_zpid/
3,3,"2,070",303 E 57th St #17GH New York NY 10022,New York,142,"5,534","695,000",For sale,Brown Harris Stevens 212-381-2258,Elise Wool ,https://www.zillow.com/homedetails/303-E-57th-St-17GH-New-York-NY-10022/247647381_zpid/
2,3,"2,200",303 E 57th St #17CD New York NY 10022,New York,46,"5,604","595,000",For sale,Brown Harris Stevens 212-381-3372,Elayne Reimer ,https://www.zillow.com/homedetails/303-E-57th-St-17CD-New-York-NY-10022/2076809402_zpid/
5,8,"8,260",53 Downing St APT 1 New York NY 10014,New York,155,"4,310","17,500,000",For sale,Compass 646-780-7594,Herve Senequier ,https://www.zillow.com/homedetails/53-Downing-St-APT-1-New-York-NY-10014/2091426693_zpid/
3,2,"1,250",5500 Fieldston Rd APT 6DD Bronx NY 10471,Bronx,56,--,"398,000",For sale,Douglas Elliman Real Estate 718-884-5815,Mary T Phelan-Kavanagh ,https://www.zillow.com/homedetails/5500-Fieldston-Rd-APT-6DD-Bronx-NY-10471/244446790_zpid/
5,4,"3,060",1611 Plymouth Ave #A Bronx NY 10461,Bronx,50,"11,205","749,000",For sale,Keystone Realty USA Corp 347-419-5268,Keystone Realty Of Greater New York ,https://www.zillow.com/homedetails/1611-Plymouth-Ave-A-Bronx-NY-10461/2076844014_zpid/
2,2,--,55 1/2 Downing St #2 New York NY 10014,New York,2,"2,202","650,000",For sale,Avi Nash Associates 917-445-5376,Soraya Mackhrandilall ,https://www.zillow.com/homedetails/55-1-2-Downing-St-2-New-York-NY-10014/2075312972_zpid/
5,6,"5,864",30 Grove St New York NY 10014,New York,505,"8,035","28,000,000",For sale,Isaacs Ganz Real Estate 212-487-5052,Jonathan Isaacs ,https://www.zillow.com/homedetails/30-Grove-St-New-York-NY-10014/31499272_zpid/
4,2,--,14787 Brookville Blvd Jamaica NY 11422,Jamaica,74,"4,410","350,000",For sale,M & J Express Realty Corp 718-650-0223,Jean Torralba ,https://www.zillow.com/homedetails/14787-Brookville-Blvd-Jamaica-NY-11422/32213629_zpid/
3,3,"2,200",100 W 57th St UNIT 4JK New York NY 10019,New York,185,"8,211","799,000",For sale,Warburg Realty,Bonnie Lindenbaum ,https://www.zillow.com/homedetails/100-W-57th-St-UNIT-4JK-New-York-NY-10019/306707664_zpid/
4,2,"2,500",114 Margaretta Ct Staten Island NY 10314,Staten Island,2,660,"879,000",For sale,R. Della Realty Corp. 718-948-4440,Richard Delli Paoli ,https://www.zillow.com/homedetails/114-Margaretta-Ct-Staten-Island-NY-10314/143695182_zpid/
1,1,650,224 Lefferts Ave APT 1 Brooklyn NY 11225,Brooklyn,30,"7,009","189,000",For sale,Virtue Realty LTD 718-648-2341,Gennadiy Gershanovich ,https://www.zillow.com/homedetails/224-Lefferts-Ave-APT-1-Brooklyn-NY-11225/2103422698_zpid/
3,4,"2,522",303 Park Ave #2806 New York NY 10022,New York,121,"5,299","10,000,000",For sale,Douglas Elliman 917-312-8747,Dan Tubb ,https://www.zillow.com/homedetails/303-Park-Ave-2806-New-York-NY-10022/2077568907_zpid/
5,10,"7,074",217 W 57th St #122 New York NY 10019,New York,107,"11,961","65,500,000",For sale,Extell Marketing Group LLC 212-957-5557,Central Park Tower Sales Corcoran Sunshine ,https://www.zillow.com/homedetails/217-W-57th-St-122-New-York-NY-10019/2077411384_zpid/
4,2,"2,304",25 Milbank Rd Staten Island NY 10306,Staten Island,30,"10,101","589,000",For sale,Exit Realty Professionals 718-838-2600,Yau Yee Yong (Billy) ,https://www.zillow.com/homedetails/25-Milbank-Rd-Staten-Island-NY-10306/32336099_zpid/
1,1,450,408 W 25th St APT 3RW New York NY 10001,New York,25,"8,002","375,000",For sale,Corcoran 212-444-7859,Pamela Wolfe ,https://www.zillow.com/homedetails/408-W-25th-St-APT-3RW-New-York-NY-10001/122588394_zpid/
3,1,900,526 W 158th St APT 51 New York NY 10032,New York,48,"6,788","200,000",For sale,Bond New York 424-245-0705,Sandra Dor ,https://www.zillow.com/homedetails/526-W-158th-St-APT-51-New-York-NY-10032/2106069796_zpid/
2,2,"155,000",420 E 51st St New York NY 10022,New York,61,"14,332","475,000",For sale,Compass,Alan Klein ,https://www.zillow.com/homedetails/420-E-51st-St-New-York-NY-10022/31532394_zpid/
1,1,664,12-15 Broadway #623 Astoria NY 11106,Astoria,2,201,"597,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/12-15-Broadway-623-Astoria-NY-11106/2075309930_zpid/
3,4,"2,112",30 Dintree Ln Staten Island NY 10307,Staten Island,4,"1,690","1,199,000",For sale,"Robert DeFalco Realty, Inc. 718-987-7900",Danielle Stout ,https://www.zillow.com/homedetails/30-Dintree-Ln-Staten-Island-NY-10307/112117400_zpid/
3,3,"1,800",8906 70th Ave Flushing NY 11375,Flushing,18,"2,938","995,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/8906-70th-Ave-Flushing-NY-11375/32020038_zpid/
6,8,"20,000",12 E 69th St New York NY 10021,New York,904,"54,111","79,000,000",For sale,Brown Harris Stevens 212-906-9207,Paula Del Nunzio ,https://www.zillow.com/homedetails/12-E-69th-St-New-York-NY-10021/31533674_zpid/
4,2,"1,248",146-15 123rd Ave Jamaica NY 11436,Jamaica,98,"11,446","225,000",For sale,"A & J PROPERTY ASSOCIATES, LLC",Ayesha Marks ,https://www.zillow.com/homedetails/146-15-123rd-Ave-Jamaica-NY-11436/2079231158_zpid/
3,2,"1,614",91 Manchester Dr Staten Island NY 10312,Staten Island,23,"2,272","629,000",For sale,REMAX Elite 718-576-2400,Becky Chum ,https://www.zillow.com/homedetails/91-Manchester-Dr-Staten-Island-NY-10312/32362725_zpid/
3,2,"1,044",67 Armstrong Ave Staten Island NY 10308,Staten Island,2,943,"509,000",For sale,"Robert DeFalco Realty, Inc. 718-987-7900",Raya Daniels ,https://www.zillow.com/homedetails/67-Armstrong-Ave-Staten-Island-NY-10308/32349221_zpid/
3,2,"1,347",295 Skyline Dr #C Staten Island NY 10304,Staten Island,18,"4,385","348,000",For sale,Hometime Estates LLC 718-524-0400,Christina Sobel ,https://www.zillow.com/homedetails/295-Skyline-Dr-C-Staten-Island-NY-10304/2078655685_zpid/
3,2,"1,600",2159 Mapes Ave Bronx NY 10460,Bronx,23,473,"559,000",For sale,DKC Realty Group LLC 718-676-1371,Kathleen P Collins ,https://www.zillow.com/homedetails/2159-Mapes-Ave-Bronx-NY-10460/29785394_zpid/
6,7,"70,820",1125 5th Ave New York NY 10128,New York,518,"18,563","50,000,000",For sale,Brown Harris Stevens 212-906-9274,John Burger ,https://www.zillow.com/homedetails/1125-5th-Ave-New-York-NY-10128/31540851_zpid/
4,4,"2,414",3220 Arlington Ave #9-C Bronx NY 10463,Bronx,2,445,"1,790,000",For sale,Julia B Fee Sotheby's International Realty,Ardit Gjonaj ,https://www.zillow.com/homedetails/3220-Arlington-Ave-9-C-Bronx-NY-10463/2138836897_zpid/
5,6,"6,189",11 E 68th St PENTHOUSE W New York NY 10065,New York,84,"15,680","39,000,000",For sale,Douglas Elliman 212-418-2028,Madeline Hult Elghanayan ,https://www.zillow.com/homedetails/11-E-68th-St-PENTHOUSE-W-New-York-NY-10065/2077162095_zpid/
3,3,"2,400",3304 161st St Flushing NY 11358,Flushing,2,"1,282","1,559,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/3304-161st-St-Flushing-NY-11358/2075312973_zpid/
1,1,531,310 Riverside Dr APT 314 New York NY 10025,New York,49,--,"345,000",For sale,Corcoran 212-401-1138,Sabrina Seidner ,https://www.zillow.com/homedetails/310-Riverside-Dr-APT-314-New-York-NY-10025/244741559_zpid/
2,3,"2,050",303 E 57th St #20JK New York NY 10022,New York,143,"3,174","625,000",For sale,Compass,Michael Keith Davis ,https://www.zillow.com/homedetails/303-E-57th-St-20JK-New-York-NY-10022/72537194_zpid/
2,2,800,1349 Franklin Ave APT 1A Bronx NY 10456,Bronx,136,"5,046","209,000",For sale,REMAX Distinguished Homes,Hermi Aquino ,https://www.zillow.com/homedetails/1349-Franklin-Ave-APT-1A-Bronx-NY-10456/89069916_zpid/
1,1,800,303 E 57th St APT 18C New York NY 10022,New York,570,"4,250","299,000",For sale,Brown Harris Stevens 212-381-3372,Elayne Reimer ,https://www.zillow.com/homedetails/303-E-57th-St-APT-18C-New-York-NY-10022/119913677_zpid/
4,3,"5,000",138 25th Un Flushing NY 11354,Flushing,2,233,"1,600,000",For sale,"Astor Brokerage, Ltd. 646-732-3800",Deedee Weiss ,https://www.zillow.com/homedetails/138-25th-Un-Flushing-NY-11354/2075274174_zpid/
5,2,"2,042",6915 Groton St Flushing NY 11375,Flushing,172,"4,247","999,000",For sale,Prime Realty,Alina Yukhtman ,https://www.zillow.com/homedetails/6915-Groton-St-Flushing-NY-11375/32003796_zpid/
4,3,"2,400",10 Arkansas Ave Staten Island NY 10308,Staten Island,146,"4,352","759,000",For sale,RE/MAX Elite 718-576-2400,Inna Vayser ,https://www.zillow.com/homedetails/10-Arkansas-Ave-Staten-Island-NY-10308/32351631_zpid/
5,3,"1,730",11560 198th St Jamaica NY 11412,Jamaica,484,"2,949","679,999",For sale,TOP HOMES REALTY LLC 718-413-5270,Stav Sofi ,https://www.zillow.com/homedetails/11560-198th-St-Jamaica-NY-11412/32159419_zpid/
4,4,"2,160",5192 Hylan Blvd Staten Island NY 10312,Staten Island,146,"5,942","699,900",For sale,"Homes R Us Realty of NY, Inc. 718-668-2550",Joseph Tsomik ,https://www.zillow.com/homedetails/5192-Hylan-Blvd-Staten-Island-NY-10312/115828356_zpid/
4,5,"4,664",26 Bank St New York NY 10014,New York,4,"1,920","19,995,000",For sale,Brown Harris Stevens 212-906-9207,Paula Del Nunzio ,https://www.zillow.com/homedetails/26-Bank-St-New-York-NY-10014/31500520_zpid/
1,1,310,552 Riverside Dr APT 1K New York NY 10027,New York,17,"2,165","295,000",For sale,Douglas Elliman 212-350-2257,Pamela Huson ,https://www.zillow.com/homedetails/552-Riverside-Dr-APT-1K-New-York-NY-10027/123174618_zpid/
2,2,"1,400",303 E 57th St APT 6D New York NY 10022,New York,197,"10,060","499,900",For sale,Corcoran,Michel Ohana ,https://www.zillow.com/homedetails/303-E-57th-St-APT-6D-New-York-NY-10022/114158552_zpid/
2,2,"1,086",175 E 62nd St APT 18B New York NY 10065,New York,204,"7,386","975,000",For sale,Compass,Justin Martinez ,https://www.zillow.com/homedetails/175-E-62nd-St-APT-18B-New-York-NY-10065/219684807_zpid/
9,6,--,2925 Laconia Ave #A Bronx NY 10469,Bronx,8,"1,897","999,000",For sale,Menora Home Management Corp 718-808-2030,Haim Russo ,https://www.zillow.com/homedetails/2925-Laconia-Ave-A-Bronx-NY-10469/2075424590_zpid/
4,4,"1,600",2343 100th St Flushing NY 11369,Flushing,10,"1,478","899,000",For sale,HYPE NY Group Inc. 347-266-8703,Itay Zeltser ,https://www.zillow.com/homedetails/2343-100th-St-Flushing-NY-11369/31968057_zpid/
3,2,--,43-20 219th St Bayside NY 11361,Bayside,38,"10,786","879,000",For sale,East Coast Realtors Inc. 718-866-6693,Meng Chen ,https://www.zillow.com/homedetails/43-20-219th-St-Bayside-NY-11361/2076768443_zpid/
